label=BGProcessing-40ms intervalMs=40.000 duration=30.000s
t(ms),dt(ms)
14161.233,39.977
14201.584,40.351
14241.034,39.449
14281.251,40.217
14321.275,40.023
14361.275,40.000
14401.293,40.019
14441.044,39.750
14481.255,40.211
14521.260,40.005
14561.251,39.991
14605.081,43.830
14641.048,35.967
14681.283,40.235
14722.277,40.994
14761.334,39.057
14801.248,39.914
14841.062,39.813
14881.264,40.202
14920.683,39.420
14961.214,40.530
15001.286,40.072
15041.040,39.753
15081.301,40.262
15125.118,43.816
15161.285,36.167
15201.378,40.093
15240.970,39.592
15281.231,40.261
15321.271,40.040
15361.263,39.992
15405.129,43.866
15440.947,35.817
15484.416,43.469
15521.271,36.855
15561.259,39.988
15601.262,40.002
15640.938,39.676
15681.280,40.343
15723.308,42.027
15761.269,37.961
15801.255,39.986
15840.935,39.680
15881.271,40.335
15921.255,39.985
15961.213,39.958
16001.291,40.078
16040.926,39.635
16081.270,40.343
16121.171,39.901
16161.265,40.094
16201.312,40.047
16240.927,39.615
16281.243,40.316
16321.249,40.007
16361.309,40.059
16400.497,39.189
16440.953,40.456
16481.259,40.306
16525.068,43.808
16561.267,36.200
16601.255,39.988
16640.923,39.668
16685.124,44.201
16724.344,39.220
16761.263,36.919
16801.247,39.983
16840.913,39.666
16881.268,40.355
16924.596,43.329
16961.439,36.843
17001.311,39.872
17040.922,39.611
17081.271,40.349
17121.255,39.984
17161.267,40.011
17201.260,39.993
17241.927,40.668
17281.201,39.274
17321.202,40.000
17361.293,40.091
17401.267,39.974
17440.910,39.643
17481.248,40.338
17523.814,42.566
17561.275,37.461
17601.256,39.981
17640.908,39.652
17681.263,40.356
17721.247,39.983
17761.190,39.943
17801.227,40.038
17840.871,39.643
17881.266,40.395
17925.075,43.809
17961.093,36.019
18005.196,44.102
18042.130,36.934
18081.293,39.163
18121.254,39.961
18161.268,40.014
18201.320,40.052
18244.355,43.035
18281.334,36.979
18321.253,39.919
18361.266,40.013
18400.439,39.172
18440.903,40.464
18481.315,40.413
18521.184,39.869
18563.115,41.931
18601.266,38.152
18640.839,39.572
18681.252,40.414
18721.267,40.014
18761.247,39.981
18800.741,39.494
18840.834,40.093
18881.262,40.427
18921.301,40.040
18961.287,39.986
19001.257,39.970
19040.835,39.578
19081.273,40.438
19125.134,43.861
19161.189,36.055
19201.252,40.063
19240.875,39.623
19281.680,40.806
19321.236,39.556
19365.133,43.897
19401.432,36.298
19442.240,40.809
19481.251,39.011
19525.071,43.820
19561.272,36.200
19601.264,39.992
19644.350,43.086
19681.325,36.975
19721.302,39.977
19761.308,40.006
19801.254,39.946
19840.821,39.567
19881.250,40.429
19921.245,39.995
19961.895,40.651
20001.249,39.353
20040.810,39.562
20080.661,39.850
20121.248,40.588
20161.325,40.076
20201.273,39.948
20240.805,39.532
20281.324,40.519
20325.347,44.023
20361.446,36.100
20405.138,43.692
20440.815,35.677
20484.424,43.609
20521.254,36.830
20565.056,43.802
20601.253,36.198
20640.783,39.530
20681.271,40.487
20721.251,39.980
20765.121,43.870
20801.258,36.137
20840.781,39.523
20881.278,40.497
20921.322,40.044
20962.888,41.566
21000.509,37.622
21040.775,40.266
21081.296,40.521
21121.279,39.983
21161.260,39.981
21201.291,40.031
21240.737,39.446
21281.265,40.529
21322.430,41.165
21360.710,38.280
21401.260,40.550
21440.741,39.481
21481.248,40.506
21525.078,43.830
21561.269,36.191
21601.322,40.054
21640.827,39.505
21681.274,40.446
21721.254,39.980
21761.305,40.052
21805.056,43.750
21840.801,35.746
21881.260,40.459
21921.262,40.002
21961.245,39.983
22001.274,40.029
22040.782,39.508
22081.288,40.505
22121.267,39.979
22161.268,40.001
22201.276,40.008
22242.292,41.016
22285.130,42.838
22325.145,40.015
22361.324,36.179
22400.463,39.139
22444.326,43.863
22481.253,36.927
22521.262,40.009
22561.252,39.990
22601.270,40.017
22640.771,39.501
22685.063,44.292
22721.293,36.230
22761.255,39.963
22801.254,39.999
22840.717,39.463
22881.245,40.528
22921.281,40.036
22961.290,40.009
23005.138,43.848
23040.680,35.542
23081.267,40.587
23121.257,39.990
23161.257,40.001
23201.258,40.001
23240.701,39.442
23281.270,40.570
23321.258,39.987
23361.282,40.025
23401.395,40.113
23440.767,39.372
23483.310,42.542
23521.275,37.966
23563.112,41.837
23601.328,38.216
23640.851,39.523
23681.028,40.177
23725.117,44.088
23761.416,36.300
23800.756,39.340
23840.728,39.972
23881.255,40.527
23925.062,43.807
23961.270,36.208
24001.268,39.998
24040.718,39.451
24081.252,40.534
24125.130,43.878
24161.275,36.145
24201.269,39.994
24240.667,39.397
24285.133,44.466
24321.244,36.112
24361.270,40.026
24405.096,43.826
24440.661,35.565
24485.046,44.384
24522.855,37.809
24561.255,38.400
24600.655,39.400
24640.695,40.041
24681.278,40.582
24724.897,43.619
24761.243,36.346
24801.240,39.998
24840.643,39.403
24881.263,40.620
24921.260,39.997
24965.073,43.813
25001.254,36.181
25042.193,40.939
25081.230,39.037
25125.151,43.921
25161.270,36.119
25201.314,40.044
25244.341,43.026
25285.141,40.800
25321.257,36.116
25365.072,43.815
25401.269,36.197
25440.549,39.280
25484.414,43.865
25520.624,36.210
25561.277,40.653
25601.301,40.024
25640.602,39.301
25685.058,44.456
25721.275,36.217
25763.320,42.046
25801.267,37.946
25840.621,39.354
25885.075,44.454
25921.268,36.193
25961.222,39.954
26001.326,40.104
26040.650,39.323
26081.328,40.678
26125.160,43.832
26161.310,36.149
26201.287,39.978
26240.602,39.315
26281.023,40.421
26321.250,40.227
26362.608,41.358
26400.433,37.825
26440.563,40.130
26481.247,40.684
26521.248,40.001
26564.950,43.702
26601.277,36.327
26640.559,39.282
26685.070,44.511
26721.259,36.189
26761.259,39.999
26801.247,39.988
26840.566,39.319
26881.256,40.690
26921.275,40.019
26961.241,39.967
27001.268,40.026
27040.617,39.349
27081.250,40.633
27121.254,40.004
27161.267,40.013
27201.285,40.018
27240.550,39.264
27281.268,40.719
27321.264,39.995
27361.269,40.006
27401.278,40.009
27440.551,39.273
27485.089,44.537
27521.326,36.238
27561.300,39.973
27601.279,39.979
27640.558,39.279
27681.247,40.689
27721.255,40.008
27761.263,40.008
27805.130,43.867
27840.551,35.421
27881.273,40.722
27921.319,40.046
27963.677,42.359
28005.130,41.452
28040.508,35.378
28081.276,40.768
28121.254,39.977
28161.265,40.012
28201.326,40.060
28240.570,39.244
28282.267,41.696
28321.239,38.972
28361.277,40.038
28400.499,39.222
28440.574,40.075
28480.927,40.353
28521.311,40.384
28561.262,39.951
28601.260,39.998
28640.506,39.246
28685.072,44.566
28721.277,36.206
28761.277,39.999
28800.723,39.446
28840.555,39.833
28881.299,40.743
28921.308,40.009
28961.224,39.916
29001.284,40.060
29040.538,39.254
29083.284,42.747
29121.267,37.983
29161.317,40.050
29201.270,39.953
29240.529,39.259
29283.311,42.782
29320.948,37.638
29361.313,40.365
29401.282,39.969
29443.483,42.201
29481.175,37.692
29520.201,39.026
29561.280,41.079
29601.234,39.955
29640.469,39.235
29681.268,40.799
29721.266,39.997
29765.067,43.802
29801.268,36.201
29840.459,39.191
29881.267,40.808
29923.266,41.999
29965.087,41.821
30001.319,36.231
