plain GCD timer intervalMs=40.000 duration=30.000s
t(ms),dt(ms)
14205.165,40.122
14245.159,39.993
14283.578,38.419
14321.937,38.359
14365.022,43.085
14401.569,36.547
14445.217,43.648
14483.987,38.770
14520.907,36.919
14560.420,39.514
14605.143,44.723
14645.152,40.010
14684.201,39.048
14725.138,40.938
14765.109,39.971
14805.190,40.081
14845.126,39.936
14884.535,39.409
14925.157,40.622
14965.130,39.973
15005.146,40.016
15043.357,38.212
15084.862,41.504
15125.127,40.266
15165.134,40.007
15205.122,39.989
15245.140,40.018
15285.054,39.913
15324.031,38.977
15365.145,41.114
15405.173,40.028
15445.150,39.976
15485.067,39.918
15525.146,40.079
15565.127,39.981
15602.341,37.214
15645.231,42.891
15685.068,39.836
15725.168,40.100
15765.140,39.972
15805.168,40.027
15845.143,39.975
15885.053,39.910
15925.124,40.071
15964.971,39.847
16005.140,40.169
16045.181,40.041
16085.068,39.887
16125.129,40.061
16165.130,40.002
16205.058,39.927
16245.168,40.110
16285.067,39.900
16325.062,39.994
16364.801,39.740
16405.118,40.317
16445.133,40.015
16485.079,39.947
16525.092,40.012
16565.128,40.037
16605.146,40.017
16645.206,40.060
16685.128,39.923
16723.790,38.661
16765.159,41.369
16804.586,39.427
16845.173,40.587
16881.300,36.127
16925.151,43.851
16961.575,36.425
17005.138,43.562
17045.140,40.003
17083.492,38.351
17125.125,41.634
17162.614,37.489
17201.773,39.160
17240.418,38.645
17285.131,44.713
17325.141,40.010
17364.966,39.825
17405.150,40.184
17440.706,35.556
17485.135,44.429
17522.318,37.183
17565.136,42.818
17605.147,40.011
17641.013,35.866
17685.125,44.112
17724.351,39.226
17765.132,40.782
17805.130,39.998
17841.342,36.213
17885.127,43.785
17925.054,39.926
17965.131,40.077
18005.140,40.009
18041.668,36.529
18082.204,40.535
18125.132,42.928
18165.129,39.997
18205.125,39.996
18242.058,36.932
18285.097,43.039
18322.704,37.607
18363.383,40.678
18401.590,38.207
18442.330,40.741
18485.125,42.795
18525.127,40.001
18565.123,39.996
18605.124,40.001
18642.644,37.520
18685.123,42.479
18722.184,37.061
