label=QoSThread-40ms intervalMs=40.000 duration=3600.000s
t(ms),dt(ms)
15793.435,45.071
15838.517,45.082
15883.601,45.084
15928.685,45.084
15972.076,43.391
16017.155,45.079
16062.216,45.061
16107.275,45.059
16149.000,41.724
16194.072,45.072
16239.157,45.085
16284.282,45.125
16329.331,45.049
16374.378,45.047
16419.434,45.056
16464.479,45.044
16509.594,45.115
16554.701,45.107
16599.749,45.047
16644.808,45.059
16689.914,45.106
16734.963,45.048
16780.036,45.074
16821.626,41.590
16866.760,45.134
16911.835,45.074
16956.949,45.115
16998.273,41.324
17043.381,45.107
17087.508,44.128
17132.560,45.052
17173.069,40.508
17217.159,44.090
17262.219,45.060
17307.336,45.118
17350.689,43.352
17395.763,45.074
17440.906,45.143
17485.961,45.056
17531.079,45.118
17576.202,45.122
17621.272,45.071
17665.922,44.650
17712.140,46.218
17757.213,45.073
17799.387,42.173
17844.474,45.088
17889.551,45.077
17932.914,43.363
17978.134,45.220
18023.201,45.067
18068.275,45.074
18113.331,45.056
18162.130,48.799
18207.280,45.150
18252.438,45.159
18297.578,45.140
18342.721,45.142
18387.861,45.141
18433.008,45.146
18478.077,45.070
18523.213,45.136
18568.283,45.070
18613.349,45.066
18658.461,45.111
18703.504,45.043
18748.578,45.074
18793.642,45.064
18838.687,45.045
18883.732,45.045
18928.809,45.076
18973.852,45.044
19018.901,45.048
19063.947,45.046
19104.134,40.187
19149.186,45.052
19194.291,45.106
19239.351,45.059
19282.717,43.367
19327.779,45.061
19372.828,45.049
19417.899,45.071
19462.977,45.078
19508.110,45.133
19551.819,43.709
19596.937,45.118
19641.991,45.054
19687.040,45.049
19732.081,45.041
19774.951,42.870
19820.073,45.122
19865.125,45.052
19910.180,45.055
19954.486,44.306
19999.567,45.081
20044.621,45.054
20089.673,45.052
20134.725,45.052
20179.789,45.065
20221.624,41.835
20266.670,45.046
20311.774,45.103
20354.184,42.410
20399.241,45.057
20444.288,45.046
20489.329,45.041
20534.380,45.052
20579.436,45.056
20619.641,40.205
20663.676,44.035
20708.723,45.047
20753.773,45.051
20798.840,45.067
20843.893,45.052
20888.961,45.068
20934.038,45.077
20979.167,45.129
21024.218,45.051
21069.332,45.114
21114.395,45.063
