label=NiceThread-40ms intervalMs=40.000 duration=3600.000s
t(ms),dt(ms)
15743.849,45.072
15788.899,45.050
15833.948,45.050
15879.016,45.067
15924.331,45.316
15969.398,45.066
16014.464,45.066
16059.534,45.070
16104.583,45.049
16149.627,45.044
16189.822,40.195
16230.986,41.164
16276.103,45.117
16321.162,45.059
16366.222,45.061
16408.740,42.517
16453.823,45.083
16498.894,45.072
16540.985,42.091
16586.067,45.082
16631.121,45.053
16676.219,45.098
16721.274,45.055
16766.393,45.119
16810.990,44.597
16854.917,43.927
16899.967,45.050
16945.014,45.047
16986.691,41.678
17031.734,45.043
17076.804,45.070
17121.858,45.055
17166.959,45.101
17212.002,45.043
17257.043,45.041
17302.091,45.048
17347.153,45.062
17390.429,43.276
17435.570,45.141
17479.431,43.860
17522.658,43.228
17567.747,45.089
17612.804,45.057
17657.855,45.051
17702.902,45.047
17747.961,45.059
17793.023,45.062
17838.084,45.061
17883.131,45.047
17928.178,45.047
17971.057,42.879
18016.112,45.055
18056.851,40.739
18101.910,45.059
18146.971,45.061
18192.017,45.045
18237.073,45.056
18282.120,45.047
18327.161,45.041
18372.203,45.042
18417.246,45.042
18462.300,45.054
18507.369,45.069
18552.414,45.045
18597.458,45.044
18642.517,45.059
18687.560,45.042
18730.038,42.479
18772.338,42.300
18817.475,45.137
18862.561,45.086
18905.886,43.325
18950.978,45.092
18996.037,45.059
19039.080,43.044
19084.129,45.049
19129.242,45.113
19172.973,43.731
19218.023,45.050
19258.313,40.290
19301.009,42.696
19346.076,45.067
19390.989,44.913
19436.045,45.055
19481.107,45.063
19526.169,45.061
19571.221,45.053
19616.340,45.119
19661.463,45.123
19705.612,44.148
19750.664,45.052
19795.731,45.067
19840.824,45.093
19880.987,40.163
19926.046,45.059
19970.989,44.943
20011.527,40.538
20056.571,45.044
20101.692,45.121
20143.099,41.407
20188.141,45.042
20233.185,45.044
20278.247,45.062
20323.291,45.044
20368.394,45.103
20413.436,45.042
20458.495,45.059
20503.563,45.068
20547.420,43.857
20590.986,43.566
20636.113,45.127
20681.168,45.055
20721.389,40.221
20763.144,41.755
20808.244,45.100
20850.915,42.671
20895.962,45.047
20941.002,45.040
20986.068,45.066
21031.119,45.051
21076.168,45.050
21121.288,45.119
21166.349,45.061
21211.395,45.046
21256.524,45.129
21301.589,45.065
21346.655,45.066
21391.700,45.045
21436.757,45.057
21481.800,45.043
21523.998,42.198
21569.126,45.128
21614.175,45.049
21659.250,45.075
21704.362,45.113
21749.430,45.068
21794.496,45.066
21839.545,45.049
21884.594,45.050
21929.712,45.118
21970.065,40.353
22013.600,43.535
22058.681,45.081
22103.734,45.053
22144.857,41.123
22189.987,45.129
22235.094,45.107
22280.210,45.116
22325.441,45.231
22370.515,45.074
22415.579,45.065
22460.625,45.046
22505.668,45.043
22550.757,45.089
22595.856,45.099
22640.915,45.059
22685.987,45.072
22731.038,45.051
22776.089,45.051
22820.992,44.903
22866.046,45.055
22911.095,45.049
22956.142,45.047
23001.198,45.056
23045.729,44.531
23090.857,45.128
23130.987,40.130
23174.970,43.983
23220.141,45.171
23265.192,45.051
23310.267,45.075
23355.318,45.051
23400.360,45.042
23440.579,40.219
23485.636,45.057
23530.685,45.050
23575.758,45.073
23620.877,45.119
23665.934,45.057
23709.759,43.825
23752.678,42.919
23797.741,45.063
23842.787,45.046
23887.832,45.045
23932.876,45.045
23977.944,45.068
24020.988,43.044
24066.066,45.077
24111.122,45.057
24156.172,45.049
24201.234,45.063
24246.302,45.068
24291.348,45.045
24336.421,45.073
24381.255,44.834
24426.315,45.060
24471.387,45.072
24514.822,43.435
24559.918,45.096
24604.969,45.052
24650.039,45.070
24690.986,40.947
24736.108,45.122
24780.256,44.147
24825.312,45.057
24870.441,45.128
24910.986,40.545
24956.099,45.114
25001.146,45.047
25046.270,45.124
25090.987,44.717
25136.045,45.058
25180.917,44.872
25226.029,45.112
25270.985,44.956
25316.027,45.042
25361.076,45.049
25406.204,45.128
25451.269,45.064
25496.315,45.046
25541.355,45.040
25586.404,45.050
25631.449,45.045
25676.489,45.040
25721.532,45.042
25766.651,45.119
25811.691,45.040
25856.790,45.099
25901.654,44.864
25946.710,45.056
25991.760,45.050
26036.877,45.118
26081.996,45.118
26127.121,45.126
26170.989,43.868
26216.120,45.131
26261.193,45.073
26305.820,44.627
26350.898,45.078
26395.761,44.863
26440.874,45.113
26485.961,45.087
26531.004,45.042
26576.129,45.125
26620.987,44.858
26666.117,45.130
26710.989,44.872
26756.114,45.125
26800.912,44.798
26845.981,45.069
26891.030,45.050
26936.148,45.118
26980.988,44.839
27024.043,43.056
27069.168,45.125
27113.121,43.953
27158.164,45.042
27203.205,45.041
27248.280,45.075
27293.362,45.082
27338.453,45.091
27381.026,42.573
27426.082,45.056
27471.145,45.063
27516.259,45.114
27561.390,45.131
27606.520,45.130
27651.569,45.049
27693.712,42.142
27738.771,45.059
27783.816,45.045
27828.867,45.050
27870.987,42.120
27916.072,45.085
27961.117,45.046
28006.160,45.043
28051.223,45.063
28096.270,45.047
28140.990,44.720
28186.066,45.075
28231.122,45.056
28273.489,42.367
28319.465,45.976
28364.574,45.109
28409.641,45.067
28454.691,45.050
28499.741,45.050
28544.786,45.044
28589.831,45.045
28634.945,45.114
28679.991,45.046
28725.051,45.060
28770.173,45.122
28815.301,45.128
28860.420,45.119
28905.538,45.118
28950.592,45.054
28995.646,45.054
29040.724,45.078
29085.794,45.070
29130.868,45.073
29175.999,45.132
29221.044,45.045
29266.145,45.101
29311.189,45.043
29351.520,40.331
29394.259,42.739
29437.075,42.816
29482.190,45.115
29524.050,41.860
29569.103,45.053
29614.138,45.035
29659.274,45.136
29704.390,45.116
29749.481,45.091
29794.530,45.048
29839.660,45.130
29884.787,45.128
29929.860,45.073
29972.474,42.613
30017.554,45.080
30065.820,48.266
30110.908,45.088
30156.039,45.131
30200.988,44.949
30245.258,44.271
30290.377,45.118
30330.988,40.612
30376.108,45.120
30416.455,40.347
30461.527,45.072
30506.650,45.123
30551.731,45.081
30596.798,45.066
30640.996,44.199
30686.134,45.138
30731.185,45.051
30774.393,43.209
30817.814,43.421
30862.873,45.058
30907.944,45.071
30952.991,45.047
30998.035,45.044
31043.136,45.101
31088.275,45.139
31130.989,42.715
31176.054,45.064
31221.098,45.045
31266.221,45.122
31311.278,45.057
31356.326,45.049
31397.267,40.941
31442.322,45.055
31487.476,45.154
31532.541,45.065
31577.673,45.132
31622.729,45.056
31667.795,45.066
31712.838,45.043
31757.895,45.057
31802.934,45.039
31847.988,45.054
31890.989,43.000
31936.109,45.120
31981.155,45.046
32024.146,42.991
32069.279,45.133
32114.342,45.063
32159.460,45.119
32200.988,41.528
32246.047,45.059
32291.112,45.065
32336.185,45.074
32381.237,45.052
32426.286,45.049
32468.340,42.053
32513.407,45.067
32555.238,41.832
32600.373,45.135
32645.249,44.875
32690.361,45.113
32735.469,45.108
32780.586,45.116
32820.992,40.406
32866.051,45.059
32910.987,44.936
32956.096,45.109
33001.142,45.046
33046.209,45.067
33090.987,44.778
33136.113,45.126
33181.227,45.114
33226.298,45.071
33268.795,42.497
33313.853,45.058
33358.903,45.050
33404.023,45.119
33449.130,45.107
33490.921,41.791
33534.894,43.973
33575.093,40.199
33620.168,45.075
33660.987,40.819
33706.046,45.059
33751.112,45.066
33796.224,45.111
33840.989,44.765
33886.060,45.071
33931.105,45.045
33976.161,45.056
34020.987,44.826
34066.057,45.070
34111.113,45.056
34156.168,45.055
34201.213,45.045
34246.275,45.062
34290.987,44.712
34336.131,45.144
34379.540,43.409
34424.629,45.089
34469.769,45.140
34514.862,45.093
34558.321,43.459
34599.565,41.243
34644.700,45.136
34689.836,45.135
34730.989,41.154
34774.047,43.058
34815.027,40.980
34860.101,45.074
34905.223,45.122
34950.342,45.119
34990.985,40.644
35034.808,43.823
35079.884,45.076
35125.009,45.126
35170.126,45.117
35215.171,45.045
35260.245,45.073
35305.358,45.114
35350.479,45.121
35395.543,45.064
35440.708,45.165
35485.826,45.118
35530.884,45.058
35577.707,46.823
35621.005,43.298
35666.062,45.056
35711.111,45.050
35756.153,45.042
35801.194,45.041
35846.235,45.041
35891.277,45.042
35936.316,45.039
35981.362,45.046
36026.407,45.045
36071.450,45.043
36116.489,45.039
36160.990,44.501
36206.061,45.071
36249.159,43.098
36294.208,45.048
36339.266,45.058
36384.386,45.120
36429.515,45.129
36474.675,45.160
36519.811,45.136
36564.954,45.142
36607.214,42.260
36648.983,41.769
36694.076,45.093
36739.120,45.045
36784.164,45.044
36829.246,45.082
36874.367,45.122
36919.495,45.128
36964.550,45.055
37009.673,45.122
37054.790,45.118
37096.277,41.487
37141.334,45.056
37186.447,45.113
37231.491,45.044
37276.561,45.071
37320.320,43.759
37365.404,45.084
37410.523,45.119
37455.160,44.637
37496.276,41.116
37541.339,45.063
37586.401,45.062
37629.610,43.209
37674.705,45.095
37719.767,45.062
37764.814,45.047
37809.881,45.068
37854.931,45.050
37899.975,45.044
37945.044,45.070
37990.084,45.040
38035.157,45.072
38080.210,45.053
38125.267,45.057
38170.328,45.061
38215.429,45.102
38260.544,45.114
38305.667,45.124
38350.791,45.124
38395.840,45.049
38440.890,45.049
38481.623,40.733
38525.181,43.558
38570.245,45.064
38610.890,40.645
38656.031,45.140
38698.005,41.975
38743.052,45.047
38788.189,45.136
38829.626,41.437
38874.690,45.065
38919.809,45.119
38964.857,45.047
39009.909,45.053
39054.979,45.070
39100.054,45.075
39145.099,45.045
39190.149,45.050
39235.204,45.054
39280.243,45.040
39325.329,45.086
39370.392,45.063
39415.460,45.067
39460.558,45.098
39505.484,44.926
39550.576,45.091
39595.635,45.059
39640.754,45.119
39685.814,45.060
39729.944,44.130
39774.054,44.110
39819.195,45.142
39864.261,45.066
39909.383,45.122
39954.501,45.118
39999.570,45.069
40044.098,44.528
40089.242,45.144
40134.293,45.051
40179.338,45.045
40224.441,45.103
40269.513,45.072
40314.587,45.074
40359.635,45.048
40404.749,45.114
