label=AudioBG-40ms intervalMs=40.000 duration=3600.000s
t(ms),dt(ms)
14164.403,42.976
14204.982,40.579
14243.282,38.300
14285.095,41.813
14322.703,37.608
14364.963,42.260
14404.983,40.020
14443.600,38.617
14481.534,37.935
14524.780,43.245
14565.139,40.359
14604.985,39.846
14643.889,38.904
14685.091,41.202
14721.656,36.565
14761.874,40.218
14805.007,43.133
14844.211,39.205
14885.138,40.926
14921.670,36.533
14961.065,39.395
15004.965,43.900
15044.542,39.577
15085.068,40.527
15121.715,36.647
15161.366,39.651
15204.999,43.633
15244.836,39.836
15285.065,40.229
15321.648,36.583
15363.467,41.819
15404.995,41.528
15445.162,40.168
15485.031,39.869
15521.712,36.681
15565.070,43.358
15600.397,35.327
15642.120,41.723
15683.735,41.615
15722.791,39.056
15760.371,37.580
15800.450,40.079
15842.714,42.264
15883.412,40.698
15920.706,37.294
15962.658,41.953
16000.439,37.781
16045.156,44.717
16083.781,38.625
16122.713,38.932
16160.655,37.941
16200.406,39.751
16242.775,42.369
16283.756,40.980
16321.364,37.608
16363.944,42.580
16402.708,38.764
16442.781,40.074
16485.068,42.287
16522.724,37.656
16561.243,38.518
16605.138,43.895
16643.608,38.470
16685.076,41.468
16722.742,37.666
16761.676,38.934
16805.074,43.398
16842.778,37.704
16885.198,42.420
16922.708,37.510
16964.177,41.469
17002.709,38.532
17043.638,40.928
17083.577,39.939
17122.743,39.166
17162.242,39.499
17202.709,40.467
17242.786,40.077
17285.142,42.356
17322.717,37.574
17362.545,39.829
17401.493,38.947
17442.739,41.246
17482.141,39.403
17522.721,40.580
17562.810,40.088
17602.721,39.911
17643.578,40.858
17685.078,41.499
17722.724,37.646
17763.131,40.407
17801.547,38.416
17842.751,41.204
17880.334,37.583
17925.062,44.729
17963.848,38.786
18005.101,41.253
18042.784,37.683
18085.065,42.282
18122.732,37.666
18163.806,41.074
18205.195,41.389
18242.717,37.522
18285.067,42.350
18325.133,40.067
18364.096,38.963
18402.713,38.616
18442.734,40.021
18480.444,37.710
18521.408,40.964
18564.394,42.986
18602.741,38.347
18642.707,39.966
18685.067,42.360
18721.065,35.998
18764.702,43.637
18801.934,37.232
18844.427,42.493
18881.907,37.480
18922.021,40.114
18965.028,43.007
19002.976,37.948
19045.069,42.093
19080.734,35.665
19122.708,41.974
19164.052,41.343
19200.341,36.289
19245.126,44.786
19285.122,39.996
19323.301,38.179
19365.120,41.819
19402.717,37.597
19445.137,42.420
19484.203,39.066
19523.329,39.126
19562.715,39.386
19602.777,40.062
19641.247,38.471
19682.303,41.056
19723.349,41.046
19762.721,39.371
19802.714,39.994
19845.054,42.340
19883.508,38.454
19923.344,39.836
19960.986,37.642
20004.589,43.603
20045.067,40.478
20085.098,40.031
20123.304,38.206
20162.796,39.492
20200.742,37.947
20241.745,41.002
20285.089,43.344
20323.324,38.235
20362.718,39.394
20402.217,39.499
20445.151,42.934
20482.716,37.565
20523.310,40.594
20562.707,39.397
20602.713,40.006
20645.070,42.357
20685.049,39.979
20723.322,38.273
20760.914,37.593
20802.493,41.578
20845.146,42.653
20885.127,39.981
20923.767,38.641
20963.905,40.138
21004.555,40.650
21045.142,40.587
21081.411,36.269
21123.272,41.861
21160.568,37.296
21202.712,42.144
21245.147,42.435
21285.284,40.137
21323.326,38.042
21362.725,39.399
21403.086,40.361
21445.079,41.993
21485.079,40.000
21523.003,37.925
21562.760,39.757
21603.509,40.749
21645.067,41.558
21685.083,40.016
21723.247,38.165
21762.715,39.468
21803.858,41.143
21845.065,41.206
21885.120,40.055
21923.335,38.215
21965.062,41.727
22004.352,39.291
22045.140,40.788
22085.141,40.001
22122.714,37.573
22160.346,37.632
22204.553,44.207
22242.105,37.553
22283.026,40.920
22322.741,39.715
22362.388,39.647
22404.912,42.524
22445.112,40.200
22485.131,40.019
22522.781,37.650
22563.767,40.987
22602.776,39.009
22645.129,42.353
22683.345,38.216
22723.301,39.957
22762.703,39.402
22802.782,40.079
22845.060,42.278
22885.076,40.016
22924.495,39.419
22965.149,40.655
23001.437,36.288
23041.730,40.293
23085.087,43.357
23122.723,37.636
23164.414,41.692
23202.736,38.322
23245.135,42.399
23285.130,39.995
23323.334,38.204
23365.138,41.804
23401.374,36.235
23445.063,43.689
23485.070,40.007
23523.294,38.224
23562.007,38.713
23600.804,38.796
23645.131,44.327
23681.734,36.603
23722.703,40.969
23765.052,42.349
23802.610,37.558
23840.635,38.025
23885.064,44.429
23924.346,39.282
23965.130,40.784
24003.209,38.078
24043.282,40.073
24085.069,41.787
24122.723,37.654
24160.169,37.446
24202.776,42.607
24245.109,42.333
24284.802,39.693
24322.737,37.936
24360.495,37.758
24401.468,40.973
24441.785,40.316
24485.128,43.343
24522.715,37.587
24560.858,38.143
24602.775,41.917
24645.135,42.359
24685.054,39.920
24723.335,38.280
24761.216,37.881
24802.724,41.509
24845.074,42.349
24885.070,39.997
24923.305,38.235
24961.566,38.261
25001.336,39.770
25044.272,42.936
25085.118,40.846
25122.842,37.724
25161.227,38.384
25202.718,41.491
25245.090,42.372
25285.128,40.038
25322.788,37.660
25361.626,38.839
25405.089,43.462
25440.863,35.774
25485.086,44.223
25523.317,38.231
25561.921,38.604
25602.671,40.750
25645.071,42.400
25685.093,40.023
25723.306,38.212
25762.263,38.958
25802.708,40.444
25843.554,40.847
25885.056,41.501
25922.720,37.665
25963.127,40.407
26002.654,39.526
26045.063,42.409
26080.398,35.335
26122.729,42.331
26162.928,40.199
26202.710,39.782
26245.123,42.413
26282.475,37.353
26322.790,40.314
26363.225,40.435
26401.494,38.269
26443.909,42.415
26485.130,41.221
26522.775,37.645
26563.631,40.856
26602.682,39.051
26645.073,42.391
26685.056,39.983
26723.326,38.270
26763.834,40.508
26802.720,38.886
26845.130,42.410
26885.164,40.035
26922.743,37.578
26964.262,41.520
27004.871,40.608
27045.073,40.202
27085.048,39.975
27123.367,38.319
27164.556,41.190
27202.722,38.165
27245.083,42.361
27285.128,40.045
27323.327,38.198
27364.939,41.613
27401.456,36.517
27444.981,43.525
27485.063,40.082
27522.651,37.588
27562.729,40.078
27602.706,39.976
27645.133,42.427
27681.193,36.061
27723.319,42.126
27762.703,39.384
27802.712,40.010
27845.089,42.377
27880.202,35.113
27922.712,42.510
27963.803,41.091
28000.762,36.959
28045.036,44.274
28080.721,35.685
